Código da Cozinha,Nome da Cozinha,Endereço da Cozinha,Bairro da Cozinha,CEP,Município da Cozinha,Código IBGE,UF,Email,CNPJ,A cozinha está em funcionamento atualmente?,Em quantos dias da semana a Cozinha Solidária funciona?,Situação,Público Atendido,Público Total Atendido,Quantidade refeições produzidas por dia de trabalho,Latitude,Longitude
CS019696,COZINHA SOLIDÁRIA ASSOCIAÇÃO AMERICANOPOLIS,"Av. Muzambinho, 221",Americanópolis,04334-040,SÃO PAULO,3550308,SP,mariajoanapaim@gmail.com,,"Sim, está funcionando normalmente",2 vezes por semana,Habilitada,"Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",4000,300,-23.6614209,-46.6390646
CS019726,COZINHA GOTA SOLIDÁRIA,"Rua General Clarindo de Queiroz, 2018",Farias Brito,60035-131,FORTALEZA,2304400,CE,gotasolidariafortaleza@gmail.com,41.411.521/0001-19,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Assentados da Reforma Agrária, Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",448,155,-3.7286447,-38.5424958
CS019867,COZINHA SOLIDÁRIA RECONSTRUIR,"Rua General Alípio dos Santos, 1365",Olavo Oliveira,60351-105,FORTALEZA,2304400,CE,institutoreconstruiridr@gmail.com,04.314.360/0001-19,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Idosos, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",250,100,-3.7329574,-38.5948898
CS019861,VIVER COM DIGNIDADE,"Avenida dois Antonio, 2530",Santo Antonio,64000-000,TERESINA,2211001,PI,fundacaovcdteresina@gmail.com,05.399.250/0001-60,"Sim, está funcionando normalmente",4 vezes por semana,Habilitada,"Crianças, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",300,200,-5.1421022,-42.7542709
CS019667,ASSOCIAÇÃO INSTITUTO JOÃO GONÇALVES DA SILVA,"Avenida Pedro Alvares Cabral Lote 09 Qd 4, s/n",Jardim Barro Branco,25267-120,DUQUE DE CAXIAS,3301702,RJ,contato.ijgs@gmail.com,52.144.386/0001-09,Está funcionando com carga horária reduzida,2 vezes por semana,Habilitada,"Mulheres, Crianças, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único ",455,200,-22.6406262,-43.2429069
CS019873,COZINHA SERVINDO AMOR,"Rua Juventude, 271",Mondubim,60766-140,FORTALEZA,2304400,CE,geiziellyalves2@gmail.com,,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",200,100,-3.8296320,-38.5699479
CS019147,ASSOCIAÇÃO MANÁ,"Travessa João Felipe, 116",Moura Brasil,60010-220,FORTALEZA,2304400,CE,abreudajusta@gmail.com,12.631.278/0001-46,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Imigrantes, Outros grupos de pessoas em situação de vulnerabilidade social",190,100,-3.7201219,-38.5316776
CS019612,CENTRO POPULAR DE SOLIDARIEDADE SERRINHA,"Rua Américo Vespúcio, 769",Serrinha,60741-145,FORTALEZA,2304400,CE,isdomheldercamara@gmail.com,10.920.923/0001-15,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",235,120,-3.7855642,-38.5493052
CS016751,COZINHA POPULAR CLARA CAMARÃO,"Rua Santo Elias, 335",Pajuçara,59125-350,NATAL,2408102,RN,secretariacozinhapopular@gmail.com,,"Sim, está funcionando normalmente",Quinzenalmente,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Outros grupos de pessoas em situação de vulnerabilidade social",200,200,-5.7357699,-35.2447974
CS019832,AMPARO ALIMENTAR,"Rua Doutor Osvaldo Mellone, 264",Vila Prel,05780-300,SÃO PAULO,3550308,SP,mesquita3178@gmail.com,,Está funcionando com carga horária reduzida,5 vezes por semana,Habilitada,"Pessoas em situação de rua, Outros grupos de pessoas em situação de vulnerabilidade social",350,350,-23.6462466,-46.7545247
CS019727,COZINHA SOCIAL INDESP BRASIL MONTE CASTELO,"Rua Sebastião Franco Baima, 608 ALTOS",Monte Castelo,60325-242,FORTALEZA,2304400,CE,projetos.indesp.brasil@gmail.com,29.983.168/0001-46,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Imigrantes, Outros grupos de pessoas em situação de vulnerabilidade social",213,100,-3.7266501,-38.5460438
CS019692,COZINHA SOLIDÁRIA INSTITUTO SOCIAL EDUCAÇÃO CIDADÃ,"Rua Manoel Alves mesquita, S/N rua sem saída",Americanópolis,04387-190,SÃO PAULO,3550308,SP,projetoecdd@gmail.com,52.974.918/0001-35,"Sim, está funcionando normalmente",3 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",200,466,-23.6650567,-46.6496619
CS015619,FIDEL CASTRO,"Acampamento Eldorado dos Carajás, SN",Zona Rural,57270-000,JUNQUEIRO,2704005,AL,brigadafidelcastro@gmail.com,52.203.906/0001-07,"Sim, está funcionando normalmente",1 vez por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Agricultores Familiares e Campesinos, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Assentados da Reforma Agrária, Outros grupos de pessoas em situação de vulnerabilidade social",130,100,-9.8807822,-36.4762236
CS019856,COZINHA SOLIDÁRIA MARGARIDA ALVES,"Rua Antônio Pereira de Paiva, 263",João de Deus,56316-470,PETROLINA,2611101,PE,amspetrolina@gmail.com,,"Sim, está funcionando normalmente",3 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Assentados da Reforma Agrária, Outros grupos de pessoas em situação de vulnerabilidade social",620,300,-9.3601257,-40.5401223
CS019752,BARRIGA CHEIA,"Avenida G, 690",Prefeito José Walter,60750-060,FORTALEZA,2304400,CE,mariaeunicecds@hotmail.com,,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",180,100,-3.8371812,-38.5604588
CS019891,INSTITUTO VIVA BAIRROS,"Rua General Piragibe, 797",Amadeu Furtado,60455-535,FORTALEZA,2304400,CE,institutovivabairros@gmail.com,284311780001-06,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",200,100,-3.7413104,-38.5571055
CS019711,COZINHA MARIA FIRMINA DOS REIS,"AMADOR LOURENÇO, 724",JARDIM DAS OLIVEIRAS,04658-020,SÃO PAULO,3550308,SP,matilio.adv@gmail.com,47.861.893/0001-23,"Sim, está funcionando normalmente",6 vezes por semana,Habilitada,"Mulheres, Jovens, Idosos, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",390,600,-23.6708681,-46.6665871
CS019897,COZINHA DO BEM,"Rua Vitoria, 3E",Ponto Parada,43700-000,SIMÕES FILHO,2930709,BA,cozinhasolidariaprojetos@gmail.com,,"Sim, está funcionando normalmente",4 vezes por semana,Habilitada,"Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",200,600,-12.7935304,-38.4027393
CS019884,RUI PEREIRA DE SOUZA,"Avenida Alberto Craveiro, 2900",Boa Vista-Castelão,60861-212,FORTALEZA,2304400,CE,associacaommjs@gmail.com,26.379.442/0001-84,"Sim, está funcionando normalmente",1 vez por semana,Habilitada,"Mulheres, Idosos, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",185,100,-3.8053868,-38.5243921
CS019901,ABBA PAI,"Rua Primeiro de Janeiro, 113",Centro,43700-000,SIMÕES FILHO,2930709,BA,projetoscozinhassolidarias@gmail.com,,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",320,500,-12.7873695,-38.4032627
CS019904,COZINHA SOLIDÁRIA SABOR DE CASA,"Avenida Tiradentes nº 256 - Casa 01, 256",Centro,75043-044,ANÁPOLIS,5201108,GO,beatrizdsantos@hotmail.com,,Está funcionando com carga horária reduzida,3 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",290,300,-16.3198232,-48.9561586
CS019896,COMUNIDADE DO CAL,"Rua São josé Castelão, 38",Castelão,60110-000,FORTALEZA,2304400,CE,usprcomunidadedocal@gmail.com,,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",190,100,-3.7973720,-38.5150075
CS019890,COZINHA INSTITUTO MARIA DO CARMO,"Rua Coronel Fabriciano, 1820 A",Granja Portugal,60000-000,FORTALEZA,2304400,CE,institutomariadocarmo1816@gmail.com,44.619.857/0001-60,"Sim, está funcionando normalmente",6 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",616,150,-3.7824735,-38.6083122
CS019881,COZINHA SOLIDÁRIA RASSAN,"Rua 27, 1630",Vila Velha,60348-430,FORTALEZA,2304400,CE,rederassance@gmail.com,54.170.242/0001-52,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",142,100,-3.7197980,-38.5980859
CS017178,INSTITUTO ARCANJO GABRIEL,"Rua Cento e Quatro, 91",Cohab,62400-000,CAMOCIM,2302602,CE,institutoarcanjogabrieloficial@gmail.com,27.531.065/0001-10,"Sim, está funcionando normalmente",4 vezes por semana,Habilitada,"Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",150,75,-2.9075481,-40.8582337
CS019937,COZINHA VERIDIANA,"Rua Nova Conquista, 99",Barroso,60543-355,FORTALEZA,2304400,CE,leilalaborel@yahoo.com.br,,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",180,100,-3.7973415,-38.5954224
CS019874,COZINHA BALUARTE,"Fernando Pacheco Jordão, 243",jd das Oliveira,08121-510,SÃO PAULO,3550308,SP,arteevidagraca@gmail.com,05.279.394/0001-82,"Sim, está funcionando normalmente",6 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Outros grupos de pessoas em situação de vulnerabilidade social",382,650,-23.4960862,-46.3849497
CS019882,COZINHA IDAH,"Rua Antolin Garcia, 142",Jd. Castro Alves,04842-490,SÃO PAULO,3550308,SP,institutodaharaujo@gmail.com,43.345.097/0001-87,"Sim, está funcionando normalmente",6 vezes por semana,Habilitada,"Jovens, Crianças, Pessoas em situação de rua, Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",500,400,-23.7413458,-46.6819037
CS019855,COZINHA POPULART - BRILHO DO CEARÁ,"Rua 69, 10",Prefeito José Walter,60750-830,FORTALEZA,2304400,CE,institutopopulart@gmail.com,10.692.602/0001-00,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",200,100,-3.8295279,-38.5542410
CS019926,PROJETO AQUELE 1%,"Rua Pompilio Gomes, 748",Jangurussu,60110-000,FORTALEZA,2304400,CE,elionlenocesar@gmail.com,,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Crianças, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",199,100,-3.8184783,-38.5211398
CS019932,ASSOCIAÇÃO RENASCER DAS ARTES,"Cacimbao dos Tabosas, 00",Cacimbao dos Tabosas,62685-000,PARAIPABA,2310258,CE,silvianechaves@hotmail.com,09.401.460/0001-04,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Agricultores Familiares e Campesinos, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",132,100,-3.4290330,-39.1576770
CS019983,COZINHA SOCIAL VIVER E BRILHAR,"AVENIDA LUIZ MENDES, N° 68",SETOR D1,62685-000,PARAIPABA,2310258,CE,viverebrilharparaipaba@gmail.com,42.590.635/0001-36,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Agricultores Familiares e Campesinos, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",141,100,-3.4792520,-39.1504830
CS019960,ASMOSAL COZINHA SOCIAL ASSOCIAÇÃO DE MORADORES DE SANTA LUZIA,"RUA MARIA STELA DE AZEVEDO, S/N",LAGOINHA,62685-000,PARAIPABA,2310258,CE,asmosalstl@gmail.com,28.782.501/0001-96,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Outros grupos de pessoas em situação de vulnerabilidade social",100,100,-3.3480907,-39.1379449
CS016358,CEBECH,"Rua Sara Kubitscheck, 221",Cidade Tiradentes,08474-000,SÃO PAULO,3550308,SP,Tatiana.reis@cebech.org.br,04.003.965/0001-99,Está funcionando com carga horária reduzida,5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",275,50,-23.5823351,-46.4055370
CS019978,CASA DE OXOSSÍ GROAÍRAS,"Rua Luiz José de Lima, 620",Paulo Malaquias,62190-000,GROAÍRAS,2304905,CE,edsondoxossi@hotmail.com,41.294.453/0001-55,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Outros grupos de pessoas em situação de vulnerabilidade social",110,100,-3.9176692,-40.3894419
CS015389,COZINHA CULINÁRIA DA COMUNIDADE SOLIDÁRIA,"Vila florentina, SN",Zona rural,39470-000,ITACARAMBI,3132107,MG,cozinhaculinariadacomunidadeso@gmail.com,29.324.135/0001-94,"Sim, está funcionando normalmente",7 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Outros grupos de pessoas em situação de vulnerabilidade social",65,640,-15.2394541,-44.0952107
CS019700,INSTITUTO VEMSER,"Rua 14, 530",Vila velha,60346-840,FORTALEZA,2304400,CE,Instituto.vemser.2020@gmail.com,49.792.829/0001-63,Está funcionando com carga horária reduzida,5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",60,100,-3.7133527,-38.5988211
CS015730,COZINHA MARGARIDA ALVES,"Assentamento Dom Elder Camara/Rendeira S/N, SN",Zona Rural,57360-000,GIRAU DO PONCIANO,2702900,AL,anamariadahora014@gmail.com,05.522.195/0001-53,"Sim, está funcionando normalmente",1 vez por semana,Habilitada,"Mulheres, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",80,100,-9.8831055,-36.8283128
CS014632,RAIZES DO MEIO,"Rua Gonçalves Gato, 288",Vila Dagmar,26130-230,BELFORD ROXO,3300456,RJ,simeusoudomeio@gmail.com,40.224.894/0001-18,"Sim, está funcionando normalmente",6 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",18530,250,-22.7677053,-43.4045766
CS020018,COZINHA SOLID´ARIA DO PARQUE SÃO JOSÉ,"Rua Costa Freire, 2267",Parque São José,60730-255,FORTALEZA,2304400,CE,karcialima@yahoo.com.br,,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Crianças, Idosos, População LGBTQIA+, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",175,100,-3.7979940,-38.5897704
CS018990,COZINHA MARROCOS,"Regivaldo França Rodrigues, 150",Siqueira,60544-322,FORTALEZA,2304400,CE,tabozazelia@gmail.com,14.467.457/0001-15,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",100,100,-3.7994359,-38.6102819
CS020036,LEONARDO SILVA,"Rua do Vassoural, 997",Vassoural,55028-400,CARUARU,2604106,PE,leonardopereiralopes1998@gmail.com,,"Sim, está funcionando normalmente",3 vezes por semana,Habilitada,"Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",301,200,-8.3024792,-35.9667707
CS020038,ASSOCIAÇÃO CENTRO DE CAPACITAÇÃO PAULO FREIRE,"assentamento normandia, zona rural",zona rural,55016-430,CARUARU,2604106,PE,leonardopereiralopes1998@gmail.com,,Está funcionando com carga horária reduzida,3 vezes por semana,Habilitada,"Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",296,200,-8.1952087,-35.9711802
CS020025,COZINHA DA FRATERNIDADE TIA LIA,"Rua Alberto Albertini, 394",Morada do Sol,79073-210,CAMPO GRANDE,5002704,MS,obrassociaisanalia@gmail.com,02.879.216/0001-02,"Sim, está funcionando normalmente",6 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento",519,351,-20.5460624,-54.6338286
CS020052,COZINHA SEJA FELIZ- PV,"Rua Lucineide Gomes, 1013",Presidente Vargas,60763-645,FORTALEZA,2304400,CE,ednete2806@gmail.com,,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",180,100,-3.8258929,-38.6023003
CS020056,COZINHA SOLIDÁRIA DAIA,"Rua Alcir de Oliveira, Quadra 12, Lote 12, Lote 21",Víviam Parque,75135-503,ANÁPOLIS,5201108,GO,nadiele_martins@hotmail.com,,"Sim, está funcionando normalmente",6 vezes por semana,Habilitada,"Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",300,200,-16.3861893,-48.9817935
CS020058,COZINHA POPULAR SOLIDARIA JCO,"Rua Américo Luiz da Silva, 158",José Carlos de Oliveira,55042-270,CARUARU,2604106,PE,leonardopereiralopes1998@gmail.com,,"Sim, está funcionando normalmente",3 vezes por semana,Habilitada,"Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",341,200,-8.2728496,-36.0047505
CS019467,COZINHA SOLIDÁRIA ASCOPAN,"Rua Guarapari, 1360",Siqueira,60732-640,FORTALEZA,2304400,CE,moradoresascopan@gmail.com,35.230.713/0001-26,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Imigrantes, Outros grupos de pessoas em situação de vulnerabilidade social",256,100,-3.8178775,-38.6192766
CS019990,INSTITUTO BENEFICENTE DE AMPARO E PROTEÇÃO SOCIAL - IBAPS,"Avenida Leite Barbosa, 1124",Cais do Porto,60180-420,FORTALEZA,2304400,CE,ibapsfortaleza@gmail.com,,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",315,100,-3.7085146,-38.4663207
CS019534,LUZ DO MUNDO,"Rua Dr. Seixas, 300",Bonsucesso,60545-475,FORTALEZA,2304400,CE,nila.matosicloud@gmail.com,10.248.665/0001-72,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",90,100,-3.7729327,-38.5948540
CS019395,GRUPO ESPÍRITA MISSIONÁRIOS DA LUZ-GMIL,"Avenida prefeito Evandro Ayres de Moura, 822",Mondubim,60810-670,FORTALEZA,2304400,CE,missionariosdiretoria@gmail.com,37.560.260/0001-21,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",400,100,-3.8241829,-38.5679760
CS019900,COZINHA IRMAO SOL,"Rua Martins de lima 2326, Rua Martins de lima 2326",Parque Presidente Vargas,60765-725,FORTALEZA,2304400,CE,palestrapo@gmail.com,,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Crianças, Idosos, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",315,100,-3.8227442,-38.6120987
CS020037,PROJETO SUPRIR - PERUS,"Rua Sorano, 69",Jardim Adelfiore,05223-020,SÃO PAULO,3550308,SP,viver.imp@gmail.com,43.134.498/0001-98,Está funcionando com carga horária reduzida,1 vez por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",200,150,-23.4122555,-46.7432253
CS019991,COZINHA SOLIDARIA - SÃO JOSÉ,"SÃO JOSÉ, BR 404 S4 Q212, 0",SÃO JOSÉ,62215-000,IPAPORANGA,2305654,CE,danielatecnologa05@gmail.com,,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",100,100,-4.8889493,-40.7765141
